id,date,description,year
20110,July 29,Mount Tabor Band Camp concert.,2011
20111,February 21,Chinese New Year gathering.,2011
20112,March 27,Family gathering.,2011
20113,June 22,Brian's graduation!,2011
20114,June 22,Brian's graduation!,2011
20115,August 20,Family gathering.,2011
20116,August 20,Family gathering.,2011
20117,August 20,Family gathering.,2011
20118,August 20,Family gathering.,2011
20119,August 27,Watching the marching band's first performance of the season.,2011
20120,December 31,Christmas gathering.,2012
20121,April 9,Camping at Stoke's forest.,2012
20122,September 11,Longhorn picnic at Volunteer's Park.,2012
20123,January 2,New Year gathering.,2012
20124,January 2,New Year gathering.,2012
20125,April 26,Perhaps an award ceremony?,2012
20126,April 28,Julie's baby shower.,2012
20127,April 28,Julie's baby shower.,2012
20128,November 23,Thanksgiving gathering.,2012
20129,November 23,Thanksgiving gathering.,2012
20130,May 30,Jess's NHS induction.,2013
20131,May 27,Memorial Day parade.,2013
20132,July 27,Brian's 20th birthday!,2013
20133,September 22,Fall Festival.,2013
20134,July 19,Mount Tabor Band Camp concert.,2013
20135,November 8,Jess's senior night.,2013
20136,August 4,My 13th birthday!,2013
20137,November 29,Thanksgiving gathering.,2013
20138,August 11,Family gathering.,2013
20139,February 2,Chinese New Year gathering.,2013
20140,March 13,This year's Spring concert.,2014
20141,August 30,Moving Jess into her freshman dorm.,2014
20142,December 29,Christmas gethering.,2014
20143,June 18,My CMS graduation!,2014
20144,July 5,Chris's wedding.,2014
20145,December 29,Christmas gethering.,2014
20146,January 26,Chinese New Year gathering.,2014
20147,July 18,Mount Tabor Band Camp concert.,2014
20148,December 28,Christmas gethering.,2014
20149,June 18,My CMS graduation!,2014
20150,March 5,This year's Spring concert.,2015
20151,May 24,Uncle James's picnic.,2015
20152,February 7,Jess's 19th birthday!,2015
20153,December 25,Christmas gethering.,2015
20154,December 25,Christmas gethering.,2015
20155,December 25,Christmas gethering.,2015
20156,May 24,Uncle James's picnic.,2015
20157,May 24,Uncle James's picnic.,2015
20158,November 26,Thanksgiving gathering.,2015
20159,November 26,Thanksgiving gathering.,2015
20160,February 6,Chinese New Year gathering.,2016
20161,February 6,Chinese New Year gathering.,2016
20162,November 24,Thanksgiving gathering.,2016
20163,November 24,Thanksgiving gathering.,2016
20164,November 24,Thanksgiving gathering.,2016
20165,February 6,Chinese New Year gathering.,2016
20166,February 6,Chinese New Year gathering.,2016
20167,February 6,Chinese New Year gathering.,2016
20168,February 6,Chinese New Year gathering.,2016
20169,June 8,Bermuda cruise.,2016
20170,January 21,Chinese New Year gathering.,2017
20171,January 21,Chinese New Year gathering.,2017
20172,November 23,Thanksgiving gathering.,2017
20173,November 23,Thanksgiving gathering.,2017
20174,November 23,Thanksgiving gathering.,2017
20175,November 23,Thanksgiving gathering.,2017
20176,November 23,Thanksgiving gathering.,2017
20177,November 23,Thanksgiving gathering.,2017
20178,April 16,Family visit.,2017
20179,May 21,Brooklyn visit.,2017
20180,August 25,Brooklyn visit.,2018
20181,September 30,Family gathering at Ben's.,2018
20182,March 31,Family gathering.,2018
20183,February 4,Chinese New Year gathering.,2018
20184,June 21,My graduation!,2018
20185,May 28,Memorial Day parade.,2018
20186,June 7,Helping me get ready for prom.,2018
20187,July 15,Touring Cornell.,2018
20188,May 17,My NFHS induction.,2018
20189,June 21,My graduation!,2018
20190,November 28,Thanksgiving gathering.,2019
20191,January 19,Chinese New Year gathering.,2019
20192,November 28,Thanksgiving gathering.,2019
20193,November 28,Thanksgiving gathering.,2019
20194,June 14,Visiting the Lee Association.,2019
20195,June 14,Visiting the Lee Association.,2019
20196,June 14,Visiting the Lee Association.,2019
20197,August 25,Family gathering.,2019
20198,August 25,Family gathering.,2019
20199,January 19,Chinese New Year gathering.,2019
20200,September 13,Brooklyn visit.,2020
20201,July 26,Brooklyn visit.,2020
20202,January 18,Chinese New Year gathering.,2020
20203,July 26,Brooklyn visit.,2020
20204,January 18,Chinese New Year gathering.,2020
20205,January 18,Chinese New Year gathering.,2020
20206,November 26,Brooklyn visit.,2020
20207,January 18,Chinese New Year gathering.,2020
20208,January 18,Chinese New Year gathering.,2020
20209,October 4,Brooklyn visit.,2020
20210,June 20,Brooklyn visit.,2021
20211,June 20,Brooklyn visit.,2021
20212,June 20,Brooklyn visit.,2021
20213,September 18,Brooklyn visit.,2021
20214,June 20,Brooklyn visit.,2021
20215,August 12,Brooklyn visit.,2021
20216,November 26,Thanksgiving gathering.,2021
20217,November 26,Thanksgiving gathering.,2021
20218,January 17, Chinese New Year gathering.,2021
20219,November 26,Thanksgiving gathering.,2021
